First 2 of SOC,SOC,Occupation,Generation, 2007 Jobs , 2013 Jobs , Job Change ,PRC Job Change ,2007 Share of All Jobs,2013 Share of All Jobs,Change in Share
19,19-2031,Chemists,Millennial,24464,22725,-1739,-0.07,0.28,0.26,-0.02
51,51-2091,Fiberglass Laminators and Fabricators,Millennial,6637,4898,-1739,-0.26,0.28,0.27,-0.01
13,13-1199,"Business Operations Specialists, All Other",Millennial,259546,257804,-1742,-0.01,0.27,0.27,0
11,nov-41,Architectural and Engineering Managers,Millennial,21687,19926,-1761,-0.08,0.11,0.11,0
17,17-2061,Computer Hardware Engineers,Millennial,24947,23155,-1792,-0.07,0.3,0.28,-0.02
47,47-2132,"Insulation Workers, Mechanical",Millennial,14060,12218,-1842,-0.13,0.39,0.38,-0.01
17,17-3026,Industrial Engineering Technicians,Millennial,14238,12394,-1844,-0.13,0.19,0.18,-0.01
53,53-7032,Excavating and Loading Machine and Dragline Operators,Millennial,13476,11557,-1919,-0.14,0.21,0.21,0
47,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Millennial,6433,4471,-1962,-0.3,0.36,0.37,0.01
27,27-3011,Radio and Television Announcers,Millennial,12953,10948,-2005,-0.15,0.31,0.29,-0.02
43,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",Millennial,31842,29812,-2030,-0.06,0.27,0.26,-0.01
49,49-9044,Millwrights,Millennial,8449,6413,-2036,-0.24,0.17,0.16,-0.01
51,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Millennial,4953,2888,-2065,-0.42,0.28,0.26,-0.02
27,27-4021,Photographers,Millennial,40757,38563,-2194,-0.05,0.32,0.31,-0.01
51,51-6021,"Pressers, Textile, Garment, and Related Materials",Millennial,14555,12327,-2228,-0.15,0.23,0.23,0
15,15-1143,Computer Network Architects,Millennial,48665,46407,-2258,-0.05,0.33,0.32,-0.01
23,23-2093,"Title Examiners, Abstractors, and Searchers",Millennial,20202,17940,-2262,-0.11,0.33,0.31,-0.02
37,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Millennial,39328,36973,-2355,-0.06,0.17,0.18,0.01
41,41-9011,Demonstrators and Product Promoters,Millennial,26079,23715,-2364,-0.09,0.26,0.25,-0.01
51,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Millennial,17397,15025,-2372,-0.14,0.29,0.29,0
43,43-9011,Computer Operators,Millennial,20521,18144,-2377,-0.12,0.24,0.23,-0.01
43,43-3051,Payroll and Timekeeping Clerks,Millennial,49120,46726,-2394,-0.05,0.26,0.25,-0.01
51,51-9022,"Grinding and Polishing Workers, Hand",Millennial,10528,8133,-2395,-0.23,0.28,0.26,-0.02
17,17-1022,Surveyors,Millennial,14533,12071,-2462,-0.17,0.3,0.28,-0.02
51,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Millennial,5776,3233,-2543,-0.44,0.18,0.16,-0.02
47,47-4031,Fence Erectors,Millennial,14367,11822,-2545,-0.18,0.4,0.4,0
47,47-2171,Reinforcing Iron and Rebar Workers,Millennial,8505,5929,-2576,-0.3,0.38,0.36,-0.02
51,51-6093,Upholsterers,Millennial,10603,8003,-2600,-0.25,0.22,0.2,-0.02
27,27-1023,Floral Designers,Millennial,14813,12194,-2619,-0.18,0.21,0.22,0.01
49,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,Millennial,17673,15033,-2640,-0.15,0.45,0.4,-0.05
51,51-6011,Laundry and Dry-Cleaning Workers,Millennial,50686,48043,-2643,-0.05,0.22,0.22,0
17,17-3013,Mechanical Drafters,Millennial,21286,18634,-2652,-0.12,0.29,0.28,-0.01
43,43-4041,"Credit Authorizers, Checkers, and Clerks",Millennial,21607,18922,-2685,-0.12,0.38,0.37,-0.01
49,49-9031,Home Appliance Repairers,Millennial,12037,9329,-2708,-0.22,0.25,0.22,-0.03
11,nov-51,Industrial Production Managers,Millennial,22911,20196,-2715,-0.12,0.13,0.13,0
51,51-9122,"Painters, Transportation Equipment",Millennial,19686,16967,-2719,-0.14,0.33,0.33,0
51,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Millennial,19748,17022,-2726,-0.14,0.25,0.24,-0.01
51,51-3023,Slaughterers and Meat Packers,Millennial,30501,27733,-2768,-0.09,0.37,0.35,-0.02
25,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",Millennial,219594,216818,-2776,-0.01,0.23,0.23,0
47,47-4099,"Construction and Related Workers, All Other",Millennial,13773,10888,-2885,-0.21,0.3,0.29,-0.01
47,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Millennial,10491,7547,-2944,-0.28,0.35,0.34,-0.01
47,47-2022,Stonemasons,Millennial,8862,5859,-3003,-0.34,0.33,0.32,-0.01
53,53-3022,"Bus Drivers, School or Special Client ",Millennial,84458,81428,-3030,-0.04,0.18,0.17,-0.01
11,11-1011,Chief Executives,Millennial,27584,24541,-3043,-0.11,0.08,0.08,0
45,45-4022,Logging Equipment Operators,Millennial,12178,9102,-3076,-0.25,0.24,0.23,-0.01
47,47-3012,Helpers--Carpenters,Millennial,18267,15178,-3089,-0.17,0.35,0.37,0.02
11,nov-41,"Property, Real Estate, and Community Association Managers",Millennial,44616,41522,-3094,-0.07,0.17,0.17,0
41,41-9021,Real Estate Brokers,Millennial,19785,16656,-3129,-0.16,0.17,0.17,0
43,43-5051,Postal Service Clerks,Millennial,9782,6600,-3182,-0.33,0.11,0.1,-0.01
43,43-9071,"Office Machine Operators, Except Computer",Millennial,24285,21083,-3202,-0.13,0.3,0.31,0.01
53,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Millennial,46429,43191,-3238,-0.07,0.22,0.22,0
17,17-3031,Surveying and Mapping Technicians,Millennial,17910,14606,-3304,-0.18,0.3,0.28,-0.02
53,53-2031,Flight Attendants,Millennial,15729,12403,-3326,-0.21,0.17,0.15,-0.02
17,17-3023,Electrical and Electronics Engineering Technicians,Millennial,33080,29731,-3349,-0.1,0.21,0.2,-0.01
51,51-2041,Structural Metal Fabricators and Fitters,Millennial,21161,17801,-3360,-0.16,0.23,0.22,-0.01
17,17-2071,Electrical Engineers,Millennial,36883,33496,-3387,-0.09,0.21,0.2,-0.01
43,43-4071,File Clerks,Millennial,48964,45564,-3400,-0.07,0.25,0.26,0.01
51,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Millennial,8757,5356,-3401,-0.39,0.22,0.2,-0.02
47,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Millennial,19994,16537,-3457,-0.17,0.3,0.29,-0.01
13,13-2053,Insurance Underwriters,Millennial,24938,21479,-3459,-0.14,0.25,0.23,-0.02
51,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Millennial,22929,19455,-3474,-0.15,0.23,0.22,-0.01
43,43-9022,Word Processors and Typists,Millennial,29386,25787,-3599,-0.12,0.23,0.22,-0.01
51,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Millennial,33559,29903,-3656,-0.11,0.25,0.25,0
43,43-4151,Order Clerks,Millennial,69683,65988,-3695,-0.05,0.31,0.3,-0.01
51,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",Millennial,57601,53897,-3704,-0.06,0.35,0.34,-0.01
49,49-9071,"Maintenance and Repair Workers, General",Millennial,265852,262012,-3840,-0.01,0.19,0.19,0
51,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Millennial,22846,18976,-3870,-0.17,0.26,0.25,-0.01
51,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Millennial,18268,14391,-3877,-0.21,0.27,0.25,-0.02
51,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Millennial,19450,15483,-3967,-0.2,0.24,0.22,-0.02
43,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",Millennial,58739,54749,-3990,-0.07,0.29,0.28,-0.01
51,51-5111,Prepress Technicians and Workers,Millennial,11501,7478,-4023,-0.35,0.2,0.19,-0.01
47,47-3013,Helpers--Electricians,Millennial,29229,25205,-4024,-0.14,0.37,0.38,0.01
49,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,Millennial,63095,59045,-4050,-0.06,0.24,0.23,-0.01
51,51-5113,Print Binding and Finishing Workers,Millennial,12517,8411,-4106,-0.33,0.18,0.16,-0.02
51,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Millennial,14438,10227,-4211,-0.29,0.31,0.29,-0.02
53,53-7061,Cleaners of Vehicles and Equipment,Millennial,109251,105016,-4235,-0.04,0.3,0.31,0.01
49,49-3021,Automotive Body and Related Repairers,Millennial,48900,44534,-4366,-0.09,0.28,0.28,0
17,17-2072,"Electronics Engineers, Except Computer",Millennial,34271,29882,-4389,-0.13,0.23,0.21,-0.02
51,51-4041,Machinists,Millennial,79691,75261,-4430,-0.06,0.19,0.18,-0.01
47,47-2082,Tapers,Millennial,12847,8363,-4484,-0.35,0.38,0.37,-0.01
33,33-3012,Correctional Officers and Jailers,Millennial,104933,100387,-4546,-0.04,0.23,0.22,-0.01
51,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Millennial,29316,24638,-4678,-0.16,0.3,0.3,0
25,25-3098,Substitute Teachers,Millennial,139177,134220,-4957,-0.04,0.22,0.22,0
49,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",Millennial,71575,66615,-4960,-0.07,0.16,0.15,-0.01
51,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Millennial,16193,11113,-5080,-0.31,0.29,0.26,-0.03
47,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Millennial,13624,8472,-5152,-0.38,0.35,0.33,-0.02
17,17-2141,Mechanical Engineers,Millennial,69276,63971,-5305,-0.08,0.25,0.24,-0.01
41,41-3041,Travel Agents,Millennial,19261,13954,-5307,-0.28,0.21,0.18,-0.03
51,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Millennial,23996,18365,-5631,-0.23,0.21,0.2,-0.01
15,15-1131,Computer Programmers,Millennial,108241,102539,-5702,-0.05,0.31,0.3,-0.01
43,43-4011,Brokerage Clerks,Millennial,27085,21345,-5740,-0.21,0.39,0.35,-0.04
13,13-1031,"Claims Adjusters, Examiners, and Investigators",Millennial,74841,69098,-5743,-0.08,0.27,0.25,-0.02
47,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Millennial,15120,9365,-5755,-0.38,0.35,0.37,0.02
43,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,Millennial,39470,33664,-5806,-0.15,0.27,0.25,-0.02
27,27-1025,Interior Designers,Millennial,27737,21921,-5816,-0.21,0.29,0.27,-0.02
41,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Millennial,25315,19421,-5894,-0.23,0.23,0.23,0
47,47-2041,Carpet Installers,Millennial,21370,15476,-5894,-0.28,0.36,0.35,-0.01
13,13-2011,Accountants and Auditors,Millennial,367635,361698,-5937,-0.02,0.28,0.27,-0.01
13,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Millennial,67256,61265,-5991,-0.09,0.22,0.21,-0.01
17,17-2112,Industrial Engineers,Millennial,49425,43322,-6103,-0.12,0.21,0.2,-0.01
43,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Millennial,19896,13740,-6156,-0.31,0.12,0.11,-0.01
27,27-3022,Reporters and Correspondents,Millennial,22129,15885,-6244,-0.28,0.34,0.31,-0.03
43,43-2011,"Switchboard Operators, Including Answering Service",Millennial,37063,30801,-6262,-0.17,0.25,0.24,-0.01
49,49-2011,"Computer, Automated Teller, and Office Machine Repairers",Millennial,46719,40357,-6362,-0.14,0.32,0.29,-0.03
43,43-6012,Legal Secretaries,Millennial,55141,48546,-6595,-0.12,0.24,0.22,-0.02
51,51-9199,"Production Workers, All Other",Millennial,76798,70105,-6693,-0.09,0.29,0.28,-0.01
51,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Millennial,33452,26744,-6708,-0.2,0.22,0.22,0
47,47-2044,Tile and Marble Setters,Millennial,26266,19322,-6944,-0.26,0.34,0.33,-0.01
53,53-7064,"Packers and Packagers, Hand",Millennial,216913,209799,-7114,-0.03,0.3,0.3,0
43,43-5052,Postal Service Mail Carriers,Millennial,41596,34236,-7360,-0.18,0.12,0.12,0
53,53-7063,Machine Feeders and Offbearers,Millennial,37472,30049,-7423,-0.2,0.28,0.28,0
11,nov-22,Sales Managers,Millennial,98172,90609,-7563,-0.08,0.25,0.25,0
43,43-5061,"Production, Planning, and Expediting Clerks",Millennial,79554,71986,-7568,-0.1,0.26,0.25,-0.01
17,17-2051,Civil Engineers,Millennial,82328,74688,-7640,-0.09,0.28,0.27,-0.01
47,47-2161,Plasterers and Stucco Masons,Millennial,17630,9836,-7794,-0.44,0.37,0.35,-0.02
51,51-2022,Electrical and Electronic Equipment Assemblers,Millennial,45384,37501,-7883,-0.17,0.2,0.19,-0.01
51,51-9111,Packaging and Filling Machine Operators and Tenders,Millennial,114272,106340,-7932,-0.07,0.28,0.29,0.01
41,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Millennial,101973,94012,-7961,-0.08,0.25,0.23,-0.02
41,41-1012,First-Line Supervisors of Non-Retail Sales Workers,Millennial,71112,62753,-8359,-0.12,0.18,0.18,0
47,47-2121,Glaziers,Millennial,25693,17294,-8399,-0.33,0.38,0.37,-0.01
27,27-3041,Editors,Millennial,44013,35576,-8437,-0.19,0.3,0.28,-0.02
43,43-3071,Tellers,Millennial,232321,223846,-8475,-0.04,0.4,0.41,0.01
11,nov-31,Financial Managers,Millennial,121445,112876,-8569,-0.07,0.22,0.22,0
43,43-9041,Insurance Claims and Policy Processing Clerks,Millennial,77472,68661,-8811,-0.11,0.32,0.29,-0.03
43,43-9021,Data Entry Keyers,Millennial,81019,71875,-9144,-0.11,0.32,0.32,0
47,47-2181,Roofers,Millennial,59429,50132,-9297,-0.16,0.36,0.35,-0.01
47,47-2221,Structural Iron and Steel Workers,Millennial,27513,18148,-9365,-0.34,0.3,0.29,-0.01
51,51-6031,Sewing Machine Operators,Millennial,34194,24666,-9528,-0.28,0.17,0.16,-0.01
41,41-3011,Advertising Sales Agents,Millennial,73164,63612,-9552,-0.13,0.34,0.34,0
51,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Millennial,55600,45896,-9704,-0.17,0.25,0.25,0
11,nov-13,"Farmers, Ranchers, and Other Agricultural Managers",Millennial,71020,60804,-10216,-0.14,0.12,0.12,0
13,13-1051,Cost Estimators,Millennial,48375,38142,-10233,-0.21,0.2,0.18,-0.02
41,41-9022,Real Estate Sales Agents,Millennial,89081,78809,-10272,-0.12,0.16,0.16,0
51,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Millennial,27613,17314,-10299,-0.37,0.3,0.28,-0.02
49,49-3023,Automotive Service Technicians and Mechanics,Millennial,228374,218055,-10319,-0.05,0.3,0.29,-0.01
23,23-1011,Lawyers,Millennial,190666,180184,-10482,-0.05,0.23,0.23,0
49,49-9052,Telecommunications Line Installers and Repairers,Millennial,60852,50361,-10491,-0.17,0.39,0.36,-0.03
43,43-1011,First-Line Supervisors of Office and Administrative Support Workers,Millennial,345263,334421,-10842,-0.03,0.24,0.23,-0.01
51,51-4121,"Welders, Cutters, Solderers, and Brazers",Millennial,119297,108381,-10916,-0.09,0.3,0.29,-0.01
51,51-2099,"Assemblers and Fabricators, All Other",Millennial,95550,84540,-11010,-0.12,0.29,0.3,0.01
17,17-1011,"Architects, Except Landscape and Naval",Millennial,39788,28763,-11025,-0.28,0.29,0.26,-0.03
43,43-3011,Bill and Account Collectors,Millennial,170601,159308,-11293,-0.07,0.4,0.39,-0.01
49,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Millennial,107169,95758,-11411,-0.11,0.34,0.32,-0.02
41,41-2021,Counter and Rental Clerks,Millennial,166592,154932,-11660,-0.07,0.34,0.35,0.01
27,27-1024,Graphic Designers,Millennial,99982,88187,-11795,-0.12,0.34,0.33,-0.01
49,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Millennial,68849,56934,-11915,-0.17,0.29,0.26,-0.03
47,47-2073,Operating Engineers and Other Construction Equipment Operators,Millennial,97333,85200,-12133,-0.12,0.24,0.23,-0.01
17,17-3011,Architectural and Civil Drafters,Millennial,40552,28338,-12214,-0.3,0.34,0.31,-0.03
51,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Millennial,116421,103740,-12681,-0.11,0.23,0.22,-0.01
47,47-2211,Sheet Metal Workers,Millennial,57437,44454,-12983,-0.23,0.32,0.31,-0.01
43,43-6011,Executive Secretaries and Executive Administrative Assistants,Millennial,210699,197658,-13041,-0.06,0.24,0.23,-0.01
51,51-7011,Cabinetmakers and Bench Carpenters,Millennial,35909,22109,-13800,-0.38,0.27,0.24,-0.03
13,13-2072,Loan Officers,Millennial,118976,105019,-13957,-0.12,0.36,0.34,-0.02
51,51-5112,Printing Press Operators,Millennial,50010,36032,-13978,-0.28,0.22,0.2,-0.02
51,51-9198,Helpers--Production Workers,Millennial,155382,140881,-14501,-0.09,0.32,0.32,0
53,53-7051,Industrial Truck and Tractor Operators,Millennial,180661,165028,-15633,-0.09,0.32,0.32,0
43,43-4051,Customer Service Representatives,Millennial,890482,873547,-16935,-0.02,0.37,0.37,0
51,51-1011,First-Line Supervisors of Production and Operating Workers,Millennial,122961,105618,-17343,-0.14,0.18,0.18,0
43,43-4131,Loan Interviewers and Clerks,Millennial,100177,82394,-17783,-0.18,0.43,0.41,-0.02
47,47-2021,Brickmasons and Blockmasons,Millennial,43332,25533,-17799,-0.41,0.32,0.29,-0.03
41,41-3031,"Securities, Commodities, and Financial Services Sales Agents",Millennial,137380,118625,-18755,-0.14,0.34,0.32,-0.02
41,41-3099,"Sales Representatives, Services, All Other",Millennial,242426,222971,-19455,-0.08,0.29,0.28,-0.01
43,43-9061,"Office Clerks, General",Millennial,863027,840190,-22837,-0.03,0.26,0.26,0
47,47-2081,Drywall and Ceiling Tile Installers,Millennial,63597,39382,-24215,-0.38,0.37,0.35,-0.02
47,47-2051,Cement Masons and Concrete Finishers,Millennial,78123,53812,-24311,-0.31,0.37,0.35,-0.02
43,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",Millennial,389112,363759,-25353,-0.07,0.21,0.2,-0.01
47,47-2152,"Plumbers, Pipefitters, and Steamfitters",Millennial,154043,128561,-25482,-0.17,0.33,0.31,-0.02
53,53-3033,Light Truck or Delivery Services Drivers,Millennial,209402,183028,-26374,-0.13,0.23,0.22,-0.01
43,43-5071,"Shipping, Receiving, and Traffic Clerks",Millennial,234103,207280,-26823,-0.11,0.3,0.3,0
11,nov-21,Construction Managers,Millennial,94581,66769,-27812,-0.29,0.18,0.17,-0.01
47,47-2141,"Painters, Construction and Maintenance",Millennial,128754,99502,-29252,-0.23,0.27,0.25,-0.02
53,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",Millennial,760334,724976,-35358,-0.05,0.32,0.32,0
47,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Millennial,154906,119319,-35587,-0.23,0.2,0.19,-0.01
11,11-1021,General and Operations Managers,Millennial,413598,377253,-36345,-0.09,0.19,0.2,0.01
41,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Millennial,364445,325234,-39211,-0.11,0.22,0.21,-0.01
47,47-2111,Electricians,Millennial,236487,194443,-42044,-0.18,0.33,0.31,-0.02
53,53-3032,Heavy and Tractor-Trailer Truck Drivers,Millennial,369694,323909,-45785,-0.12,0.19,0.18,-0.01
43,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Millennial,622918,569072,-53846,-0.09,0.23,0.23,0
51,51-2092,Team Assemblers,Millennial,337012,282772,-54240,-0.16,0.28,0.27,-0.01
47,47-2061,Construction Laborers,Millennial,466606,393332,-73274,-0.16,0.33,0.32,-0.01
47,47-2031,Carpenters,Millennial,401192,288981,-112211,-0.28,0.3,0.29,-0.01
